Rank,Country,Score
1,Finland,86.35
2,Sweden,85.7
3,Denmark,85
4,Germany,83.45
5,France,82.76
6,Austria,82.55
7,Norway,82.23
8,Croatia,82.19
9,United Kingdom,82.16
10,Poland,81.69
11,Slovenia,81.34
12,Czechia,81.26
13,Latvia,80.99
14,Spain,80.7
15,Estonia,80.46
16,Portugal,80.22
17,Belgium,80.04
18,Japan,79.87
19,Iceland,79.54
20,Hungary,79.53
21,Slovak Republic,79.35
22,Switzerland,79.3
23,Italy,79.29
24,Netherlands,79.21
25,Canada,78.83
26,New Zealand,78.81
27,Moldova,78.81
28,Ireland,78.72
29,Greece,78.71
30,Belarus,78.6
31,Lithuania,78.12
32,Chile,77.82
33,"Korea, Rep.",77.33
34,Uruguay,77.09
35,Serbia,77.03
36,Malta,76.95
37,Australia,76.88
38,Luxembourg,76.81
39,Cuba,76.74
40,Romania,76.7
41,Bulgaria,75.54
42,Albania,75.03
43,Georgia,74.91
44,Ukraine,74.81
45,Thailand,74.67
46,United States,74.43
47,Argentina,74.4
48,Kyrgyz Republic,74.19
49,Armenia,74.09
50,Bosnia and Herzegovina,73.99
51,North Macedonia,73.8
52,Brazil,73.78
53,Israel,73.53
54,Vietnam,73.32
55,Dominican Republic,73.12
56,Russian Federation,73.1
57,Montenegro,73.05
58,Cyprus,72.92
59,Costa Rica,72.88
60,Tunisia,72.53
61,Bhutan,72.52
62,Fiji,72.29
63,Azerbaijan,72.2
64,Peru,71.88
65,Singapore,71.41
66,Kazakhstan,71.11
67,Maldives,70.93
68,China,70.85
69,Morocco,70.85
70,United Arab Emirates,70.52
71,Algeria,70.47
72,Türkiye,70.47
73,Mauritius,70.45
74,Colombia,70.3
75,Ecuador,70.14
76,Suriname,70.01
77,Jamaica,69.51
78,Indonesia,69.43
79,Malaysia,69.32
80,Mexico,69.28
81,Uzbekistan,69.24
82,Barbados,69.19
83,"Egypt, Arab Rep.",69.15
84,Panama,69.09
85,Jordan,69.06
86,"Iran, Islamic Rep.",68.96
87,El Salvador,68.61
88,Cabo Verde,68.21
89,Tajikistan,68.09
90,Bolivia,68.08
91,Paraguay,68.02
92,Philippines,67.47
93,Sri Lanka,67.43
94,Turkmenistan,67.13
95,Nepal,67.07
96,Brunei Darussalam,67.04
97,Guyana,66.73
98,Namibia,66.54
99,Mongolia,66.31
100,Oman,66.11
101,Belize,65.55
102,Qatar,64.93
103,Saudi Arabia,64.91
104,Cambodia,64.9
105,Gabon,64.88
106,Nicaragua,64.66
107,Bangladesh,64.35
108,Iraq,64.18
109,India,63.99
110,Lebanon,63.89
111,Kuwait,63.76
112,"Bahamas, The",63.73
113,Bahrain,63.56
114,Botswana,63.44
115,South Africa,63.44
116,Senegal,63.39
117,Ghana,63.05
118,Sao Tome and Principe,63.01
119,Lao PDR,62.95
120,Myanmar,62.82
121,Cote d'Ivoire,62.72
122,"Venezuela, RB",62.46
123,Kenya,62.17
124,Honduras,62
125,Trinidad and Tobago,61.83
126,Rwanda,60.87
127,Syrian Arab Republic,60.6
128,Guatemala,59.41
129,Togo,58.37
130,Tanzania,58.2
131,Sierra Leone,58.19
132,Mauritania,58.17
133,Eswatini,57.76
134,Zimbabwe,57.76
135,"Gambia, The",57.61
136,Cameroon,57.28
137,Pakistan,57.02
138,Mali,56.81
139,Benin,56.77
140,Malawi,56.75
141,Guinea,56.42
142,Uganda,56.13
143,Burundi,56.08
144,Lesotho,55.54
145,Ethiopia,55.24
146,Nigeria,54.58
147,Zambia,54.44
148,Mozambique,54.35
149,Burkina Faso,52.92
150,"Congo, Rep.",52.7
151,Haiti,52.68
152,Liberia,52.48
153,Comoros,52.38
154,Papua New Guinea,51.99
155,Angola,51.93
156,Guinea-Bissau,51.86
157,Djibouti,51.68
158,Madagascar,51.22
159,Sudan,49.91
160,Niger,49.86
161,"Congo, Dem. Rep.",48.71
162,Afghanistan,48.24
163,"Yemen, Rep.",46.87
164,Somalia,45.42
165,Chad,45.07
166,Central African Republic,44.21
167,South Sudan,40.14
